place,address
ビックカメラ新潟店,新潟県新潟市中央区花園１−１−２１ＣｏＣｏＬｏ南館内１Ｆ
ハローズガーデン長岡,新潟県長岡市千秋２−２７８アピタＲＩＶＥＲＳＩＤＥＳＥＮＳＨＵ長岡店２Ｆ
ハローズガーデン新潟亀田,新潟県新潟市江南区鵜ノ子４−４６６アピタ新潟亀田店２Ｆ
ファミリーアミューズメント新潟西,新潟県新潟市西区小新字白鳥４７４アピタ新潟西店２Ｆ
ゲオ新潟空港通り,新潟県新潟市東区浜谷町２丁目４番６号
ゲオ寺尾,新潟県新潟市西区五十嵐東１丁目７番１号
アピナ長岡店,新潟県長岡市堺東町２２
モーリーファンタジー・ｆ新潟南,新潟県新潟市江南区下早通柳田１丁目１番１号イオンモール２Ｆ
モーリーファンタジー県央,新潟県燕市井土巻３−６５イオン２Ｆ
トイザらス長岡,新潟県長岡市川崎町１４３６−５
モーリーファンタジー十日町,新潟県十日町市字川端丑７８４−１イオン１Ｆ
モーリーファンタジー小千谷,新潟県小千谷市大字平沢新田字荒田３３９イオン２Ｆ
モーリーファンタジー上越,新潟県上越市富岡３４５８番地アコーレ２階アコーレ２Ｆ
モーリーファンタジー上越新井,新潟県妙高市栗原４−７−１１新井Ｓｃ１Ｆ
モーリーファンタジー新潟青山,新潟県新潟市西区青山２−５−１イオン２Ｆ
モーリーファンタジー新潟東,新潟県新潟市東区大形本町３−１−２イオン３Ｆ
モーリーファンタジー新潟南,新潟県新潟市江南区下早通柳田１丁目１番１号イオンモール３Ｆ
モーリーファンタジー新発田,新潟県新発田市住吉町５丁目１１番５号イオン２Ｆ
モーリーファンタジー六日町,新潟県南魚沼市余川３１００イオン２Ｆ
ビックカメラ新潟店,新潟県新潟市中央区花園１−１−２１ＣｏＣｏＬｏ南館内１Ｆ
イオン三条,新潟県三条市西裏館２−１２−２０
イオン長岡,新潟県長岡市古正寺１−２４９−１
イオン新潟南,新潟県新潟市江南区下早通柳田１−１−１
イオン新発田,新潟県新発田市住吉町５丁目１１番５号
イオン上越,新潟県上越市富岡３４５７
イオン県央,新潟県燕市井土巻３−６５
モーリーファンタジー新潟青山,新潟県新潟市西区青山２−５−１イオン２Ｆ
タカラ島新村上,新潟県村上市仲間町２００番地村上プラザ１階内
らんらんらんど十日町,新潟県十日町市旭町１６１リオン・ドール十日町
ヨドバシカメラ新潟,新潟県新潟市中央区花園１−１−１
ヨドバシカメラ新潟,新潟県新潟市中央区花園１−１−１
こころっこ上越,新潟県上越市とよば２３９番の１バロー上越店内
アピタ長岡,新潟県長岡市千秋二丁目２７８番地
アピタ新潟西,新潟県新潟市小新４７４
アピタ新潟亀田,新潟県新潟市江南区鵜ノ子４−４６６
カプコサーカス新潟東,新潟県新潟市東区大形本町３−１−２イオン新潟東店内ゲームコーナー
トイザらス新潟,新潟県新潟市中央区上近江４−１２−２０デッキィ４０１内
イトーヨーカドー直江津,新潟県上越市西本町３−８−８
イトーヨーカドー丸大新潟,新潟県新潟市中央区本町通り６−１１２２−１
イトーヨーカドー丸大柏崎,新潟県柏崎市駅前２−３−７
イトーヨーカドー長岡,新潟県長岡市城内町２−３−１２
