place,address
モーリーファンタジーつがる柏,青森県つがる市柏稲盛幾世４１−１イオン１Ｆ
モーリーファンタジー下田,青森県上北郡おいらせ町中野平４０−１イオン２Ｆ
モーリーファンタジー十和田,青森県十和田市大字相坂字六日町山１６６番１ＳｕＣ１Ｆ
トイザらス青森,青森県青森市三好２−３−１１ガーラタウン
モーリーファンタジー藤崎,青森県南津軽郡藤崎町大字西豊田１−７−１イオン２Ｆ
モーリーファンタジー八戸田向,青森県八戸市大字田向字毘沙門平２７−１イオン１Ｆ
モーリーファンタジー平賀,青森県平川市小和森上松岡１９３−１マックスバリュ１Ｆ
トイザらス八戸,青森県八戸市沼館４−７−１１０
らんらんらんど三沢,青森県三沢市松園町３−１０−１ビードルプラザ三沢店１Ｆ
イオン青森,青森県青森市緑３−９−２
イオン下田,青森県上北郡おいらせ町中野平４０−１
スカロップ弘前店,青森県弘前市城東北３−１０−１さくら野弘前店３Ｆ
イトーヨーカドー弘前,青森県弘前市大字駅前３−２−１
イトーヨーカドー五所川原,青森県五所川原市大字唐笠柳字藤巻５１７−１
イトーヨーカドー八戸沼館,青森県八戸市沼館４−７−１１１
イトーヨーカドー青森,青森県青森市浜田１−１４−１
